city,years,latitude,longitude,season
Athens (GREECE),"1896, 2004",37.9838096,23.7275388,Summer
Paris (FRANCE),"1900, 1924",48.856614,2.3522219,Summer
St. Louis (USA),1904,38.6270025,-90.1994042,Summer
London (GREAT BRITAIN),"1908, 1948, 2012",51.5073509,0.1277583,Summer
Stockholm (SWEDEN),1912,59.3293235,18.0685808,Summer
Antwerp (BELGIUM),1920,51.2194475,4.4024643,Summer
Amsterdam (NETHERLANDS),1928,52.3702157,4.8951679,Summer
Los Angeles (USA),"1932, 1984",34.0522342,-118.2436849,Summer
Berlin (GERMANY),1936,52.5200066,13.404954,Summer
Helsinki (FINLAND),1952,60.1698557,24.938379,Summer
Melbourne (AUSTRALIA),1956,-37.8136276,144.9630576,Summer
Rome (ITALY),1960,41.9027835,12.4963655,Summer
Tokyo (JAPAN),"1964, 2020",35.6894875,139.6917064,Summer
Mexico City (MEXICO),1968,19.2464696,-99.1013498,Summer
Munich (GERMANY),1972,48.1351253,11.5819806,Summer
Montreal (CANADA),1976,45.5016889,-73.567256,Summer
Moscow (USSR),1980,55.755826,37.6173,Summer
Seoul (SOUTH KOREA),1988,37.566535,126.9779692,Summer
Barcelona (SPAIN),1992,41.3850639,2.1734035,Summer
Atlanta (USA),1996,33.7489954,-84.3879824,Summer
Sydney (AUSTRALIA),2000,-33.8688197,151.2092955,Summer
Beijing (CHINA),2008,39.9041999,116.4073963,Summer
Rio de Janeiro (BRAZIL),2016,-22.9068467,-43.1728965,Summer
Chamonix (FRANCE),1924,45.923697,6.869433,Winter
St. Moritz (SWITZERLAND),"1928, 1948",46.4907973,9.8355079,Winter
Lake Placid (U.S.),"1932, 1980",44.2794911,-73.9798713,Winter
Garmisch-Partenkirchen,1936,47.4916945,11.0954984,Winter
Oslo (NORWAY),1952,59.9138688,10.7522454,Winter
Cortina d'Ampezzo (ITALY),1956,46.5525475,12.0993028,Winter
Squaw Valley (U.S.),1960,39.1969804,-120.2357055,Winter
Innsbruck (AUSTRIA),"1964, 1976",47.2692124,11.4041024,Winter
Grenoble (FRANCE),1968,45.188529,5.724524,Winter
Sapporo (JAPAN),1972,43.0620958,141.3543763,Winter
Sarajevo (YUGOSLAVIA),1984,43.8562586,18.4130763,Winter
Calgary (MY HOME!),1988,51.0486151,-114.0708459,Winter
Albertville (FRANCE),1992,45.675535,6.392726,Winter
Lillehammer (NORWAY),1994,61.1152713,10.4662306,Winter
Nagano (JAPAN),1998,36.6512986,138.1809557,Winter
Salt Lake City (U.S.),2002,40.7607793,-111.8910474,Winter
Turin (ITALY),2006,45.0703393,7.686864,Winter
Vancouver (CANADA),2010,49.2827291,-123.1207375,Winter
Sochi (RUSSIA),2014,43.6028079,39.7341543,Winter
Pyeongchang (SOUTH KOREA),2018,37.370474,128.3899769,Winter
Beijing (CHINA),2022,39.9041999,116.4073963,Winter